代码,名称,波段收益(%),死拿收益(%),相对超额(%)
600023,浙能电力,13.62,-3.5,17.12
601728,中国电信,8.19,-8.77,16.96
603369,今世缘,-3.2,-19.77,16.56
603288,海天味业,1.16,-15.24,16.41
300832,新产业,3.28,-13.11,16.39
300999,金龙鱼,8.04,-8.2,16.24
300760,迈瑞医疗,-3.7,-19.35,15.65
601878,浙商证券,9.89,-5.72,15.61
600036,招商银行,31.64,16.05,15.58
002129,TCL中环,15.69,0.12,15.57
601006,大秦铁路,-3.29,-18.65,15.36
600999,招商证券,9.43,-5.7,15.13
000625,长安汽车,9.18,-5.62,14.81
688472,阿特斯,40.77,26.09,14.68
601059,信达证券,39.58,24.93,14.65
300015,爱尔眼科,2.39,-12.02,14.41
601901,方正证券,14.47,0.13,14.34
600674,川投能源,-0.55,-14.8,14.25
600233,圆通速递,35.6,21.42,14.18
601838,成都银行,15.35,1.26,14.09
300782,卓胜微,11.24,-2.72,13.96
002252,上海莱士,6.58,-7.02,13.6
601633,长城汽车,4.23,-9.23,13.46
600918,中泰证券,18.41,5.08,13.33
300979,华利集团,-18.25,-31.48,13.23
600941,中国移动,4.14,-8.96,13.1
600900,长江电力,9.8,-3.26,13.06
601995,中金公司,21.86,9.01,12.85
000001,平安银行,18.65,5.91,12.74
000100,TCL科技,5.31,-7.35,12.65
601166,兴业银行,31.08,18.48,12.6
300413,芒果超媒,5.2,-7.23,12.42
600585,海螺水泥,9.64,-2.46,12.1
600000,浦发银行,39.51,27.47,12.04
000596,古井贡酒,-5.51,-17.55,12.04
688009,中国通号,4.79,-7.18,11.97
601818,光大银行,10.45,-1.41,11.86
600196,复星医药,21.66,9.88,11.78
000975,山金国际,66.94,55.18,11.76
601077,渝农商行,23.09,11.55,11.55
